State,Tweet_Per_Capita,Misinfo_Ratio,Average_Sentiment_Score,VMVI
MD,0.0526705382332123,0.424460597456592,1.0,0.2461910648594696
FL,0.1255348167510961,0.6713328361856659,0.5649203695629623,0.4863620175363859
TX,0.0775964080854808,0.7589878211760261,0.2825043049085071,0.6622648579794859
NY,0.0960105673164998,0.5158177601891458,0.3920721514627475,0.2863685648773093
CA,0.0747124222912624,0.5347076014203562,0.3698281036424454,0.3827845959909822
WA,0.1194117628610792,0.4394311943145816,0.4780212768862681,0.2947828076615085
AR,0.0497890774180711,0.7086650103939562,0.6202510080823631,0.7292839938705558
NC,0.0549460735422114,0.5643894648962668,0.6707369816939668,0.5424013342305871
AZ,0.1425337286449495,0.79099881180436,0.0,0.6891545752823125
DC,1.0,0.0,0.3974491765172764,0.0702006390051994
CO,0.1067732319349211,0.4096633105351219,0.018665457210406,0.3068957734171151
MI,0.0463651045582793,0.5977694990205089,0.5161559286165637,0.5492897525284388
MA,0.0806218457778042,0.2700103426789962,0.417057367111178,0.1260546189586012
IL,0.0384311852742595,0.4577064626858407,0.6655858423647079,0.4353615817376388
TN,0.0666238097932314,0.6898777186082925,0.3378942893364714,0.7205039709444225
VT,0.0889570437623855,0.5577244841048523,0.6642976605715095,0.2277212685330991
NV,0.1151655261674223,0.8964640267707753,0.5766798641997253,0.7661450236120468
MS,0.0,0.9985499163413274,0.4938169016489962,1.0
IN,0.0377049361503435,0.8595442223634548,0.545705135642463,0.8014501763473079
UT,0.0190142177281631,0.8305214723926382,0.221872740270264,0.7084396271808495
NH,0.1552369110420094,0.3299295239060994,0.4287352336452737,0.2417395769062966
SC,0.0574979480486661,0.949784139968189,0.0371177779520289,0.8689583269393992
NE,0.051678173481467,0.7352651616188559,0.5116999627660476,0.5882749337147632
LA,0.0511853283260498,0.7315236018861229,0.3262421824371579,0.7522836003680582
OR,0.1164357405255785,0.3980051245988829,0.5042035823363151,0.2807963833599641
NJ,0.0648548534873337,0.9113703048085552,0.7243711734010747,0.4821284290548503
PA,0.0455262944833354,0.5742968687753964,0.2215130822239488,0.4170015079331302
RI,0.0596081234823878,0.0066926938092581,0.2129784980928345,0.0
MO,0.0448992750891695,0.4069157836029002,0.7033899117006506,0.4752442776566369
OK,0.0367783321913958,0.6992526491912996,0.5066975185214178,0.6845447285344843
DE,0.0810746600443846,0.2653876185164529,0.5853814451176347,0.2463545487090774
OH,0.042816737006223,0.8370202181733599,0.3306908725635246,0.7440995670199033
MN,0.0777021677491425,0.3207746437089864,0.365818997253015,0.2785182444568246
WV,0.0371687684551768,0.5029081348099753,0.1727504287526777,0.6791865639936583
KS,0.0475459532514411,0.6450789213742869,0.3962609119756237,0.5881770184258692
GA,0.0423494627680805,0.7112508239111697,0.5805570906355579,0.7312345027863889
IA,0.0720571706034133,0.3924406122136727,0.0215877877128922,0.3814088773484335
AL,0.0310374320541382,0.8063102541630149,0.5152280171185283,0.8679938004146965
KY,0.0398442058691636,0.7124000743632646,0.2347636349723452,0.6029103860459022
ME,0.1165058286580925,0.069969071642245,0.6102026320365302,0.0295855160128661
MT,0.0915342543574172,0.5277452264424072,0.2314731534416246,0.5544438326999561
VA,0.0443408619536594,0.5179860212884622,0.4421565429970622,0.344163343200087
SD,0.0429927044273202,1.0,0.1666886915074369,0.8420757154337417
WI,0.0421551819133649,0.531780495323489,0.7944373528478101,0.4268174663250526
NM,0.0455697225926218,0.3078639152258784,0.5964531474052396,0.1913732179752613
ND,0.0949174598739222,0.1258226436140547,0.4734671109033361,0.3087058344128816
AK,0.1923485249642018,0.5245797147637639,0.3870682341184258,0.514549247922971
CT,0.0577994059984946,0.3968618702361034,0.2731104233917883,0.1671867519965997
ID,0.0495806652763028,0.1372002230897936,0.7323443966591325,0.3432279449132918
HI,0.1400944365176434,0.4023192920055982,0.3959546839502971,0.3263447652743238
WY,0.0967524987181805,0.8175794757389849,0.3745090559643607,0.8949917760481472
