State,Tweet_Per_Capita
MD,0.052435719470300166
FL,0.10755079833428619
TX,0.06678988161099239
NY,0.08829261949913214
CA,0.056943376780296276
WA,0.09358049691075557
AR,0.04585223480662702
NC,0.05307201764303045
AZ,0.11116112029379208
DC,1.0
CO,0.09773976294761905
MI,0.04688802398715959
MA,0.08117785414369333
IL,0.03227150665223316
TN,0.055848969698579345
VT,0.06753299049973378
NV,0.08881241064502018
MS,0.0
IN,0.040835624557500116
UT,0.0172465070353778
NH,0.13149502356043366
SC,0.05400623186106478
NE,0.04870442166759156
LA,0.03738831879867728
OR,0.09084105792240682
NJ,0.054985717978880674
PA,0.0389083090604839
RI,0.04697218600307955
MO,0.04176777257137458
OK,0.028327987307096417
DE,0.0736260599233421
OH,0.03991557722573966
MN,0.07788932296597148
WV,0.023314332367280866
KS,0.03590597875797649
GA,0.03994893974260162
IA,0.06986656707749689
AL,0.03127671257360702
KY,0.03464643206138229
ME,0.1150181468940269
MT,0.08002544718390152
VA,0.04101990967117754
SD,0.03442117370562592
WI,0.03402169849128041
NM,0.04253707239801599
ND,0.09763194734138128
AK,0.15923167441563343
CT,0.05539953729122987
WY,0.08803988745403765
ID,0.0298368263177025
HI,0.1117200429362746
